Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,doi,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave3,ave5
DIRECT IMAGING DETECTION OF METHANE IN THE ATMOSPHERE OF GJ 504 b,"Janson, Markus; Brandt, Timothy D.; Kuzuhara, Masayuki; Spiegel, David S.; Thalmann, Christian; Currie, Thayne; Bonnefoy, Mickael; Zimmerman, Neil; Sorahana, Satoko; Kotani, Takayuki; Schlieder, Joshua; Hashimoto, Jun; Kudo, Tomoyuki; Kusakabe, Nobuhiko; Abe, Lyu; Brandner, Wolfgang; Carson, Joseph C.; Egner, Sebastian; Feldt, Markus; Goto, Miwa; Grady, Carol A.; Guyon, Olivier; Hayano, Yutaka; Hayashi, Masahiko; Hayashi, Saeko; Henning, Thomas; Hodapp, Klaus W.; Ishii, Miki; Iye, Masanori; Kandori, Ryo; Knapp, Gillian R.; Kwon, Jungmi; Matsuo, Taro; McElwain, Michael W.; Mede, Kyle; Miyama, Shoken; Morino, Jun-Ichi; Moro-Martin, Amaya; Nakagawa, Takao; Nishimura, Tetsuro; Pyo, Tae-Soo; Serabyn, Eugene; Suenaga, Takuya; Suto, Hiroshi; Suzuki, Ryuji; Takahashi, Yasuhiro; Takami, Michihiro; Takato, Naruhisa; Terada, Hiroshi; Tomono, Daego; Turner, Edwin L.; Watanabe, Makoto; Wisniewski, John; Yamada, Toru; Takami, Hideki; Usuda, Tomonori; Tamura, Motohide",ASTROPHYSICAL JOURNAL LETTERS,NOV 20 2013,2013,778,1,,,L4,10.1088/2041-8205/778/1/L4,,,54,4.91,0,0,0,0,1,14,8,14,2,4,2,2,4,3,0,7.666666667,7.8
"TWIN SISTER OF FT, GIGANTEA, and CONSTANS Have a Positive But Indirect Effect on Blue Light-Induced Stomatal Opening in Arabidopsis","Ando, Eigo; Ohnishi, Masato; Wang, Yin; Matsushita, Tomonao; Watanabe, Aiko; Hayashi, Yuki; Fujii, Miho; Ma, Jian Feng; Inoue, Shin-ichiro; Kinoshita, Toshinori",PLANT PHYSIOLOGY,JUL 2013,2013,162,3,1529,1538,,10.1104/pp.113.217984,,,54,4.91,0,0,0,0,0,5,11,6,5,4,4,1,7,9,2,5.333333333,5.4
"ATP13A2 deficiency induces a decrease in cathepsin D activity, fingerprint-like inclusion body formation, and selective degeneration of dopaminergic neurons","Matsui, Hideaki; Sato, Fumiaki; Sato, Shigeto; Koike, Masato; Taruno, Yosuke; Saiki, Shinji; Funayama, Manabu; Ito, Hidefumi; Taniguchi, Yoshihito; Uemura, Norihito; Toyoda, Atsushi; Sakaki, Yoshiyuki; Takeda, Shunichi; Uchiyama, Yasuo; Hattori, Nobutaka; Takahashi, Ryosuke",FEBS LETTERS,MAY 2 2013,2013,587,9,1316,1325,,10.1016/j.febslet.2013.02.046,,,53,4.82,0,0,0,0,0,3,9,4,10,4,8,5,5,5,0,4,5.2
Characterization of Zeolite in Zeolite-Geopolymer Hybrid Bulk Materials Derived from Kaolinitic Clays,"Takeda, Hayami; Hashimoto, Shinobu; Yokoyama, Hiroaki; Honda, Sawao; Iwamoto, Yuji",MATERIALS,MAY 2013,2013,6,5,1767,1778,,10.3390/ma6051767,,,53,4.82,0,0,0,0,1,2,0,5,6,5,5,12,8,8,1,1,2.8
Acid-promoted Cascade Cyclization to Produce Fused-polycyclic Indole Derivatives,"Yokosaka, Takuya; Nakayama, Hiroki; Nemoto, Tetsuhiro; Hamada, Yasumasa",ORGANIC LETTERS,JUN 21 2013,2013,15,12,2978,2981,,10.1021/ol401128h,,,52,4.73,0,0,0,0,0,7,5,9,7,13,3,3,3,2,0,4,5.6
ADORA2A polymorphism predisposes children to encephalopathy with febrile status epilepticus,"Shinohara, Mayu; Saitoh, Makiko; Nishizawa, Daisuke; Ikeda, Kazutaka; Hirose, Shinichi; Takanashi, Jun-ichi; Takita, Junko; Kikuchi, Kenjiro; Kubota, Masaya; Yamanaka, Gaku; Shiihara, Takashi; Kumakura, Akira; Kikuchi, Masahiro; Toyoshima, Mitsuo; Goto, Tomohide; Yamanouchi, Hideo; Mizuguchi, Masashi",NEUROLOGY,APR 2013,2013,80,17,1571,1576,,10.1212/WNL.0b013e31828f18d8,,,52,4.73,0,0,0,0,1,3,10,11,5,1,6,5,2,8,0,4.666666667,6
THE SEEDS DIRECT IMAGING SURVEY FOR PLANETS AND SCATTERED DUST EMISSION IN DEBRIS DISK SYSTEMS,"Janson, Markus; Brandt, Timothy D.; Moro-Martin, Amaya; Usuda, Tomonori; Thalmann, Christian; Carson, Joseph C.; Goto, Miwa; Currie, Thayne; McElwain, M. W.; Itoh, Yoichi; Fukagawa, Misato; Crepp, Justin; Kuzuhara, Masayuki; Hashimoto, Jun; Kudo, Tomoyuki; Kusakabe, Nobuhiko; Abe, Lyu; Brandner, Wolfgang; Egner, Sebastian; Feldt, Markus; Grady, Carol A.; Guyon, Olivier; Hayano, Yutaka; Hayashi, Masahiro; Hayashi, Saeko; Henning, Thomas; Hodapp, Klaus W.; Ishii, Miki; Iye, Masanori; Kandori, Ryo; Knapp, Gillian R.; Kwon, Jungmi; Matsuo, Taro; Miyama, Shoken; Morino, Jun-Ichi; Nishimura, Tetsuro; Pyo, Tae-Soo; Serabyn, Eugene; Suenaga, Takuya; Suto, Hiroshi; Suzuki, Ryuji; Takahashi, Yasuhiro; Takami, Michihiro; Takato, Naruhisa; Terada, Hiroshi; Tomono, Daego; Turner, Edwin L.; Watanabe, Makoto; Wisniewski, John; Yamada, Toru; Takami, Hideki; Tamura, Motohide",ASTROPHYSICAL JOURNAL,AUG 10 2013,2013,773,1,,,73,10.1088/0004-637X/773/1/73,,,51,4.64,0,0,0,0,1,9,11,11,2,7,2,1,5,2,0,7,6.8
Aberrant Assembly of RNA Recognition Motif 1 Links to Pathogenic Conversion of TAR DNA-binding Protein of 43 kDa (TDP-43),"Shodai, Akemi; Morimura, Toshifumi; Ido, Akemi; Uchida, Tsukasa; Ayaki, Takashi; Takahashi, Rina; Kitazawa, Soichiro; Suzuki, Sakura; Shirouzu, Mikako; Kigawa, Takanori; Muto, Yutaka; Yokoyama, Shigeyuki; Takahashi, Ryosuke; Kitahara, Ryo; Ito, Hidefumi; Fujiwara, Noriko; Urushitani, Makoto",JOURNAL OF BIOLOGICAL CHEMISTRY,MAY 24 2013,2013,288,21,14886,14905,,10.1074/jbc.M113.451849,,,49,4.45,0,0,0,0,1,3,4,5,1,5,9,5,10,6,0,2.666666667,2.8
Zero Resistivity above 150K in HgBa2Ca2Cu3O8+delta at High Pressure,"Takeshita, Nao; Yamamoto, Ayako; Iyo, Akira; Eisaki, Hiroshi",JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,FEB 2013,2013,82,2,,,23711,10.7566/JPSJ.82.023711,,,49,4.45,0,0,0,0,1,5,5,6,3,5,9,7,5,3,0,3.666666667,4
"Activin receptor-like kinase5 inhibition suppresses mouse melanoma by ubiquitin degradation of Smad4, thereby derepressing eomesodermin in cytotoxic T lymphocytes","Yoon, Jeong-Hwan; Jung, Su Myung; Park, Seok Hee; Kato, Mitsuyasu; Yamashita, Tadashi; Lee, In-Kyu; Sudo, Katsuko; Nakae, Susumu; Han, Jin Soo; Kim, Ok-Hee; Oh, Byung-Chul; Sumida, Takayuki; Kuroda, Masahiko; Ju, Ji-Hyeon; Jung, Kyeong Cheon; Park, Seong Hoe; Kim, Dae-Kee; Mamura, Mizuko",EMBO MOLECULAR MEDICINE,NOV 2013,2013,5,11,1720,1739,,10.1002/emmm.201302524,,,47,4.27,0,0,0,0,0,3,4,7,3,5,7,10,7,1,0,2.333333333,3.4
Fabrication of porous spinel (MgAl2O4) from porous alumina using a template method,"Hashimoto, Shinobu; Honda, Sawao; Hiramatsu, Tomoki; Iwamoto, Yuji",CERAMICS INTERNATIONAL,MAR 2013,2013,39,2,2077,2081,,10.1016/j.ceramint.2012.08.062,,,47,4.27,0,0,0,0,1,0,6,6,4,5,6,6,7,5,1,2.333333333,3.4
Difference in Abscisic Acid Perception Mechanisms between Closure Induction and Opening Inhibition of Stomata,"Yin, Ye; Adachi, Yuji; Ye, Wenxiu; Hayashi, Maki; Nakamura, Yoshimasa; Kinoshita, Toshinori; Mori, Izumi C.; Murata, Yoshiyuki",PLANT PHYSIOLOGY,OCT 2013,2013,163,2,600,610,,10.1104/pp.113.223826,,,44,4,0,0,0,0,1,2,5,9,6,3,6,8,1,3,0,2.666666667,4.6
GRK6 deficiency in mice causes autoimmune disease due to impaired apoptotic cell clearance,"Nakaya, Michio; Tajima, Mitsuru; Kosako, Hidetaka; Nakaya, Takeo; Hashimoto, Akiko; Watari, Kenji; Nishihara, Hiroaki; Ohba, Mina; Komiya, Shiori; Tani, Naoki; Nishida, Motohiro; Taniguchi, Hisaaki; Sato, Yoji; Matsumoto, Mitsuru; Tsuda, Makoto; Kuroda, Masahiko; Inoue, Kazuhide; Kurose, Hitoshi",NATURE COMMUNICATIONS,FEB 2013,2013,4,,,,1532,10.1038/ncomms2540,,,43,3.91,0,0,0,0,0,2,8,6,11,1,5,4,3,3,0,3.333333333,5.4
Involvement of Prolactin-Releasing Peptide in the Activation of Oxytocin Neurones in Response to Food Intake,"Yamashita, M.; Takayanagi, Y.; Yoshida, M.; Nishimori, K.; Kusama, M.; Onaka, T.",JOURNAL OF NEUROENDOCRINOLOGY,MAY 2013,2013,25,5,455,465,,10.1111/jne.12019,,,42,3.82,0,0,0,0,1,8,7,3,6,2,5,3,4,3,0,5.333333333,5
"A New Fungal Endophyte, Scolecobasidium humicola, Promotes Tomato Growth under Organic Nitrogen Conditions","Mahmoud, Rola S.; Narisawa, Kazuhiko",PLOS ONE,NOV 1 2013,2013,8,11,,,e78746,10.1371/journal.pone.0078746,,,41,3.73,0,0,0,0,0,1,1,4,5,5,7,8,7,3,0,0.666666667,2.2
Copper enhances APP dimerization and promotes A beta production,"Noda, Yasuha; Asada, Megumi; Kubota, Masakazu; Maesako, Masato; Watanabe, Kiwamu; Uemura, Maiko; Kihara, Takeshi; Shimohama, Shun; Takahashi, Ryosuke; Kinoshita, Ayae; Uemura, Kengo",NEUROSCIENCE LETTERS,JUN 28 2013,2013,547,,10,15,,10.1016/j.neulet.2013.04.057,,,41,3.73,0,0,0,0,1,6,8,4,3,3,8,3,2,3,0,5,4.4
A c-Met inhibitor increases the chemosensitivity of cancer stem cells to the irinotecan in gastric carcinoma,"Yashiro, M.; Nishii, T.; Hasegawa, T.; Matsuzaki, T.; Morisaki, T.; Fukuoka, T.; Hirakawa, K.",BRITISH JOURNAL OF CANCER,NOV 12 2013,2013,109,10,2619,2628,,10.1038/bjc.2013.638,,,40,3.64,0,0,0,0,0,3,10,7,4,4,0,1,4,7,0,4.333333333,4.8
Protocadherin alpha (PCDHA) as a novel susceptibility gene for autism,"Anitha, Ayyappan; Thanseem, Ismail; Nakamura, Kazuhiko; Yamada, Kazuo; Iwayama, Yoshimi; Toyota, Tomoko; Iwata, Yasuhide; Suzuki, Katsuaki; Sugiyama, Toshiro; Tsujii, Masatsugu; Yoshikawa, Takeo; Mori, Norio",JOURNAL OF PSYCHIATRY & NEUROSCIENCE,MAY 2013,2013,38,3,192,198,,10.1503/jpn.120058,,,40,3.64,0,0,0,0,0,2,5,4,6,6,3,7,5,2,0,2.333333333,3.4
"Excitation Wavelength Dependence of Excited State Intramolecular Proton Transfer Reaction of 4 '-N,N-Diethylamino-3-hydroxyflavone in Room Temperature Ionic Liquids Studied by Optical Kerr Gate Fluorescence Measurement","Suda, Kayo; Terazima, Masahide; Sato, Hirofumi; Kimura, Yoshifumi",JOURNAL OF PHYSICAL CHEMISTRY B,OCT 17 2013,2013,117,41,12567,12582,,10.1021/jp405537c,,,37,3.36,0,0,0,0,0,1,6,6,7,3,5,3,5,0,1,2.333333333,4
Anomalous thermal conductivity by surface phonon-polaritons of polar nano thin films due to their asymmetric surrounding media,"Ordonez-Miranda, J.; Tranchant, Laurent; Tokunaga, Takuro; Kim, Beomjoon; Palpant, Bruno; Chalopin, Yann; Antoni, Thomas; Volz, Sebastian",JOURNAL OF APPLIED PHYSICS,FEB 28 2013,2013,113,8,,,84311,10.1063/1.4793498,,,37,3.36,0,0,0,0,0,6,4,3,3,1,4,5,6,5,0,3.333333333,3.2
PINK1 and Parkin complementarily protect dopaminergic neurons in vertebrates,"Matsui, Hideaki; Gavinio, Roberto; Asano, Takeshi; Uemura, Norihito; Ito, Hidefumi; Taniguchi, Yoshihito; Kobayashi, Yoshito; Maki, Takakuni; Shen, Jie; Takeda, Shunichi; Uemura, Kengo; Yamakado, Hodaka; Takahashi, Ryosuke",HUMAN MOLECULAR GENETICS,JUN 15 2013,2013,22,12,2423,2434,,10.1093/hmg/ddt095,,,36,3.27,0,0,0,0,3,3,5,1,6,1,3,6,4,4,0,3.666666667,3.6
Tricornered/NDR kinase signaling mediates PINK1-directed mitochondrial quality control and tissue maintenance,"Wu, Zhihao; Sawada, Tomoyo; Shiba, Kahori; Liu, Song; Kanao, Tomoko; Takahashi, Ryosuke; Hattori, Nobutaka; Imai, Yuzuru; Lu, Bingwei",GENES & DEVELOPMENT,JAN 15 2013,2013,27,2,157,162,,10.1101/gad.203406.112,,,36,3.27,0,0,0,0,3,5,5,4,3,3,4,3,2,4,0,4.333333333,4
Akebono observations of EMIC waves in the slot region of the radiation belts,"Sakaguchi, K.; Kasahara, Y.; Shoji, M.; Omura, Y.; Miyoshi, Y.; Nagatsuma, T.; Kumamoto, A.; Matsuoka, A.",GEOPHYSICAL RESEARCH LETTERS,NOV 16 2013,2013,40,21,5587,5591,,10.1002/2013GL058258,,,35,3.18,0,0,0,0,0,1,7,9,2,6,4,1,3,1,1,2.666666667,3.8
"Landslide Amplification by Liquefaction of Runout-Path Material after the 2008 Wenchuan (M 8.0) Earthquake, China","Wang, Gonghui; Huang, Runqiu; Chigira, Masahiro; Wu, Xiyong; Lourenco, Sergio D. N.",EARTH SURFACE PROCESSES AND LANDFORMS,MAR 2013,2013,38,3,265,274,,10.1002/esp.3277,,,35,3.18,0,0,0,0,0,2,4,4,5,2,3,5,6,4,0,2,3
Development of Novel I-123-Labeled Pyridyl Benzofuran Derivatives for SPECT Imaging of beta-Amyloid Plaques in Alzheimer's Disease,"Ono, Masahiro; Cheng, Yan; Kimura, Hiroyuki; Watanabe, Hiroyuki; Matsumura, Kenji; Yoshimura, Masashi; Iikuni, Shimpei; Okamoto, Yoko; Ihara, Masafumi; Takahashi, Ryosuke; Saji, Hideo",PLOS ONE,SEP 13 2013,2013,8,9,,,e74104,10.1371/journal.pone.0074104,,,34,3.09,0,0,0,0,0,5,7,4,4,1,2,3,2,6,0,4,4
GANP regulates recruitment of AID to immunoglobulin variable regions by modulating transcription and nucleosome occupancy,"Singh, Shailendra Kumar; Maeda, Kazuhiko; Eid, Mohammed Mansour Abbas; Almofty, Sarah Ameen; Ono, Masaya; Pham, Phuong; Goodman, Myron F.; Sakaguchi, Nobuo",NATURE COMMUNICATIONS,MAY 2013,2013,4,,,,1830,10.1038/ncomms2823,,,34,3.09,0,0,0,0,1,4,4,6,5,5,4,0,1,4,0,3,4
Biaxial Alignment Control of Guanine Crystals by Diamagnetic Orientation,"Iwasaka, Masakazu; Miyashita, Yuito; Mizukawa, Yuri; Suzuki, Kentaro; Toyota, Taro; Sugawara, Tadashi",APPLIED PHYSICS EXPRESS,MAR 2013,2013,6,3,,,37002,10.7567/APEX.6.037002,,,33,3,0,0,0,0,0,6,3,2,6,7,5,2,2,0,0,3,3.4
The ?-Secretase Blocker DAPT Reduces the Permeability of the Blood-Brain Barrier by Decreasing the Ubiquitination and Degradation of Occludin During Permanent Brain Ischemia,"Zhang, Gen-Sheng; Tian, Yun; Huang, Ji-Yun; Tao, Rong-Rong; Liao, Mei-Hua; Lu, Ying-Mei; Ye, Wei-Feng; Wang, Rui; Fukunaga, Kohji; Lou, Yi-Jia; Han, Feng",CNS NEUROSCIENCE & THERAPEUTICS,JAN 2013,2013,19,1,53,60,,10.1111/cns.12032,,,33,3,0,0,0,0,2,3,2,6,1,6,6,1,3,3,0,2.333333333,2.8
Rac GEF Dock4 interacts with cortactin to regulate dendritic spine formation,"Ueda, Shuhei; Negishi, Manabu; Katoh, Hironori",MOLECULAR BIOLOGY OF THE CELL,MAY 15 2013,2013,24,10,1602,1613,,10.1091/mbc.E12-11-0782,,,31,2.82,0,0,0,0,1,5,3,4,4,3,4,2,3,2,0,3,3.4
Stimulation of sigma(1)-receptor restores abnormal mitochondrial Ca2+ mobilization and ATP production following cardiac hypertrophy,"Tagashira, Hideaki; Zhang, Chen; Lu, Ying-mei; Hasegawa, Hideyuki; Kanai, Hiroshi; Han, Feng; Fukunaga, Kohji",BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,APR 2013,2013,1830,4,3082,3094,,10.1016/j.bbagen.2012.12.029,,,31,2.82,0,0,0,0,4,4,6,3,1,3,2,2,3,2,1,4.666666667,3.6
Enzymes in the glutamate-glutamine cycle in the anterior cingulate cortex in postmortem brain of subjects with autism,"Shimmura, Chie; Suzuki, Katsuaki; Iwata, Yasuhide; Tsuchiya, Kenji J.; Ohno, Koji; Matsuzaki, Hideo; Iwata, Keiko; Kameno, Yosuke; Takahashi, Taro; Wakuda, Tomoyasu; Nakamura, Kazuhiko; Hashimoto, Kenji; Mori, Norio",MOLECULAR AUTISM,MAR 26 2013,2013,4,,,,6,10.1186/2040-2392-4-6,,,31,2.82,0,0,0,0,1,5,3,2,2,4,5,4,2,3,0,3,2.6
Substrate specificity of Pasteurella multocida toxin for alpha subunits of heterotrimeric G proteins,"Orth, Joachim H. C.; Fester, Ines; Siegert, Peter; Weise, Markus; Lanner, Ulrike; Kamitani, Shigeki; Tachibana, Taro; Wilson, Brenda A.; Schlosser, Andreas; Horiguchi, Yasuhiko; Aktories, Klaus",FASEB JOURNAL,FEB 2013,2013,27,2,832,842,,10.1096/fj.12-213900,,,31,2.82,0,0,0,0,5,6,5,2,2,5,2,2,1,1,0,5.333333333,4
Retinoid X Receptor Agonists Modulate Foxp3(+) Regulatory T Cell and Th17 Cell Differentiation with Differential Dependence on Retinoic Acid Receptor Activation,"Takeuchi, Hajime; Yokota-Nakatsuma, Aya; Ohoka, Yoshiharu; Kagechika, Hiroyuki; Kato, Chieko; Song, Si-Young; Iwata, Makoto",JOURNAL OF IMMUNOLOGY,OCT 1 2013,2013,191,7,3725,3733,,10.4049/jimmunol.1300032,,,30,2.73,0,0,0,0,0,1,4,5,6,1,0,5,5,3,0,1.666666667,3.2
"Efficacy and Tolerability of Risperidone, Yokukansan, and Fluvoxamine for the Treatment of Behavioral and Psychological Symptoms of Dementia A Blinded, Randomized Trial","Teranishi, Mika; Kurita, Masatake; Nishino, Satoshi; Takeyoshi, Kenji; Numata, Yukio; Sato, Tadahiro; Tateno, Amane; Okubo, Yoshiro",JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,OCT 2013,2013,33,5,600,607,,10.1097/JCP.0b013e31829798d5,,,30,2.73,0,0,0,0,0,3,0,5,4,4,4,3,5,2,0,1,2.4
Continuation of Exercise Is Necessary to Inhibit High Fat Diet-Induced beta-Amyloid Deposition and Memory Deficit in Amyloid Precursor Protein Transgenic Mice,"Maesako, Masato; Uemura, Kengo; Iwata, Ayana; Kubota, Masakazu; Watanabe, Kiwamu; Uemura, Maiko; Noda, Yasuha; Asada-Utsugi, Megumi; Kihara, Takeshi; Takahashi, Ryosuke; Shimohama, Shun; Kinoshita, Ayae",PLOS ONE,SEP 4 2013,2013,8,9,,,e72796,10.1371/journal.pone.0072796,,,30,2.73,0,0,0,0,0,1,9,1,6,2,5,2,3,1,0,3.333333333,3.4
HIGH-CONTRAST NEAR-INFRARED IMAGING POLARIMETRY OF THE PROTOPLANETARY DISK AROUND RY TAU,"Takami, Michihiro; Karr, Jennifer L.; Hashimoto, Jun; Kim, Hyosun; Wisniewski, John; Henning, Thomas; Grady, Carol A.; Kandori, Ryo; Hodapp, Klaus W.; Kudo, Tomoyuki; Kusakabe, Nobuhiko; Chou, Mei-Yin; Itoh, Yoichi; Momose, Munetake; Mayama, Satoshi; Currie, Thayne; Follette, Katherine B.; Kwon, Jungmi; Abe, Lyu; Brandner, Wolfgang; Brandt, Timothy D.; Carson, Joseph; Egner, Sebastian E.; Feldt, Markus; Guyon, Olivier; Hayano, Yutaka; Hayashi, Masahiko; Hayashi, Saeko; Ishii, Miki; Iye, Masanori; Janson, Markus; Knapp, Gillian R.; Kuzuhara, Masayuki; McElwain, Michael W.; Matsuo, Taro; Miyama, Shoken; Morino, Jun-Ichi; Moro-Martin, Amaya; Nishimura, Tetsuo; Pyo, Tae-Soo; Serabyn, Eugene; Suto, Hiroshi; Suzuki, Ryuji; Takato, Naruhisa; Terada, Hiroshi; Thalmann, Christian; Tomono, Daigo; Turner, Edwin L.; Watanabe, Makoto; Yamada, Toru; Takami, Hideki; Usuda, Tomonori; Tamura, Motohide",ASTROPHYSICAL JOURNAL,AUG 1 2013,2013,772,2,,,145,10.1088/0004-637X/772/2/145,,,30,2.73,0,0,0,0,1,2,6,3,1,4,5,4,1,3,0,3,2.6
Ephexin4-mediated promotion of cell migration and anoikis resistance is regulated by serine 897 phosphorylation of EphA2,"Kawai, Hiromu; Kobayashi, Masakazu; Hiramoto-Yamaki, Nao; Harada, Kohei; Negishi, Manabu; Katoh, Hironori",FEBS OPEN BIO,2013,2013,3,,78,82,,10.1016/j.fob.2013.01.002,,,30,2.73,0,0,0,0,0,4,4,3,4,3,4,4,2,2,0,2.666666667,3
Palladium-Catalyzed Intramolecular ipso-Friedel-Crafts Allylic Alkylation of Phenols via Arylative Activation of Allenes,"Nemoto, Tetsuhiro; Nozaki, Tomoyuki; Yoshida, Mariko; Hamada, Yasumasa",ADVANCED SYNTHESIS & CATALYSIS,SEP 16 2013,2013,355,13,2693,2700,,10.1002/adsc.201300326,,,28,2.55,0,0,0,0,1,5,5,4,1,2,0,3,4,3,0,3.666666667,3.2
Characterization of genetic lesions in rhabdomyosarcoma using a high-density single nucleotide polymorphism array,"Nishimura, Riki; Takita, Junko; Sato-Otsubo, Aiko; Kato, Motohiro; Koh, Katsuyoshi; Hanada, Ryoji; Tanaka, Yukichi; Kato, Keisuke; Maeda, Daichi; Fukayama, Masashi; Sanada, Masashi; Hayashi, Yasuhide; Ogawa, Seishi",CANCER SCIENCE,JUL 2013,2013,104,7,856,864,,10.1111/cas.12173,,,28,2.55,0,0,0,0,1,0,5,3,2,2,6,3,5,1,0,2,2.2
Effects of the composition on the properties of nickel-aluminum layered double hydroxide/carbon (Ni-Al LDH/C) composite fabricated by liquid phase deposition (LPD),"Beleke, Alexis Bienvenu; Higuchi, Eiji; Inoue, Hiroshi; Mizuhata, Minoru",JOURNAL OF POWER SOURCES,MAR 1 2013,2013,225,,215,220,,10.1016/j.jpowsour.2012.10.048,,,28,2.55,0,0,0,0,0,7,7,0,3,4,3,2,1,1,0,4.666666667,3.4
Heregulin induces resistance to lapatinib-mediated growth inhibition of HER2-amplified cancer cells,"Sato, Yuji; Yashiro, Masakazu; Takakura, Nobuyuki",CANCER SCIENCE,DEC 2013,2013,104,12,1618,1625,,10.1111/cas.12290,,,27,2.45,0,0,0,0,0,2,5,4,2,4,0,2,3,5,0,2.333333333,2.6
CA-S27: A novel Lewis a associated carbohydrate epitope is diagnostic and prognostic for cholangiocarcinoma,"Silsirivanit, Atit; Araki, Norie; Wongkham, Chaisiri; Vaeteewoottacharn, Kulthida; Pairojkul, Chawalit; Kuwahara, Kazuhiko; Narimatsu, Yoshiki; Sawaki, Hiromichi; Narimatsu, Hisashi; Okada, Seiji; Sakaguchi, Nobuo; Wongkham, Sopit",CANCER SCIENCE,OCT 2013,2013,104,10,1278,1284,,10.1111/cas.12222,,,27,2.45,0,0,0,0,0,2,5,3,0,6,2,5,2,1,1,2.333333333,2
The long-term immunosuppressive effects of disulfide-linked HLA-G dimer in mice with collagen-induced arthritis,"Kuroki, Kimiko; Hirose, Kaoru; Okabe, Yuki; Fukunaga, Yuko; Takahashi, Ami; Shiroishi, Mitsunori; Kajikawa, Mizuho; Tabata, Shigekazu; Nakamura, Seiko; Takai, Toshiyuki; Koyanagi, Satoru; Ohdo, Shigehiro; Maenaka, Katsumi",HUMAN IMMUNOLOGY,APR 2013,2013,74,4,433,438,,10.1016/j.humimm.2012.11.060,,,27,2.45,0,0,0,0,0,2,2,1,6,1,5,4,1,5,0,1.333333333,2.2
Ischemic injury promotes Keap1 nitration and disturbance of antioxidative responses in endothelial cells: a potential vasoprotective effect of melatonin,"Tao, Rong-rong; Huang, Ji-Yun; Shao, Xue-jing; Ye, Wei-feng; Tian, Yun; Liao, Mei-hua; Fukunaga, Kohji; Lou, Yi-jia; Han, Feng; Lu, Ying-mei",JOURNAL OF PINEAL RESEARCH,APR 2013,2013,54,3,271,281,,10.1111/jpi.12009,,,27,2.45,0,0,0,0,1,4,3,2,4,4,4,1,2,2,0,2.666666667,2.8
gamma-tocotrienol enhances the chemosensitivity of human oral cancer cells to docetaxel through the downregulation of the expression of NF-kappa B-regulated anti-apoptotic gene products,"Kani, Kouichi; Momota, Yukihiro; Harada, Michito; Yamamura, Yoshiko; Aota, Keiko; Yamanoi, Tomoko; Takano, Hideyuki; Motegi, Katsumi; Azuma, Masayuki",INTERNATIONAL JOURNAL OF ONCOLOGY,JAN 2013,2013,42,1,75,82,,10.3892/ijo.2012.1692,,,27,2.45,0,0,0,0,1,2,3,5,4,2,2,4,1,3,0,2,3
Synthesis of graphene nanosheets from petroleum asphalt by pulsed arc discharge in water,"Li, Yongfeng; Chen, Qiang; Xu, Kai; Kaneko, Toshiro; Hatakeyama, Rikizo",CHEMICAL ENGINEERING JOURNAL,JAN 15 2013,2013,215,,45,49,,10.1016/j.cej.2012.09.123,,,26,2.36,0,0,0,0,2,1,2,2,1,2,6,5,3,2,0,1.666666667,1.6
Design and synthesis of a series of alpha-benzyl phenylpropanoic acid-type peroxisome proliferator-activated receptor (PPAR) gamma partial agonists with improved aqueous solubility,"Ohashi, Masao; Oyama, Takuji; Putranto, Endy Widya; Waku, Tsuyoshi; Nobusada, Hiromi; Kataoka, Ken; Matsuno, Kenji; Yashiro, Masakazu; Morikawa, Kosuke; Huh, Nam-ho; Miyachi, Hiroyuki",BIOORGANIC & MEDICINAL CHEMISTRY,APR 15 2013,2013,21,8,2319,2332,,10.1016/j.bmc.2013.02.003,,,25,2.27,0,0,0,0,0,3,7,3,5,0,1,2,1,3,0,3.333333333,3.6
"The internal structure of a rockslide dam induced by the 2008 Wenchuan (M(w)7.9) earthquake, China","Wang, Gonghui; Huang, Runqiu; Kamai, Toshitaka; Zhang, Fanyu",ENGINEERING GEOLOGY,APR 1 2013,2013,156,,28,36,,10.1016/j.enggeo.2013.01.004,,,25,2.27,0,0,0,0,0,3,3,3,0,2,4,2,3,4,1,2,1.8
